icd_code,long_title,frequency
85181,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",8
0743,"Hand, foot, and mouth disease",8
L97428,Non-pressure chronic ulcer of left heel and midfoot with other specified severity,8
L97229,Non-pressure chronic ulcer of left calf with unspecified severity,8
L89319,"Pressure ulcer of right buttock, unspecified stage",8
S06340A,"Traumatic hemorrhage of right cerebrum without loss of consciousness, initial encounter",8
27700,Cystic fibrosis without mention of meconium ileus,8
R0681,"Apnea, not elsewhere classified",8
T670XXA,"Heatstroke and sunstroke, initial encounter",8
E0092,Activity involving aerobic and step exercise,8
E0090,Activity involving exercise machines primarily for cardiorespiratory conditioning,8
T887XXA,"Unspecified adverse effect of drug or medicament, initial encounter",8
33391,Stiff-man syndrome,8
28268,Other sickle-cell disease without crisis,8
S0922XA,"Traumatic rupture of left ear drum, initial encounter",8
T25221A,"Burn of second degree of right foot, initial encounter",8
73399,Other disorders of bone and cartilage,8
M20011,Mallet finger of right finger(s),8
M00861,"Arthritis due to other bacteria, right knee",8
S12112A,"Nondisplaced Type II dens fracture, initial encounter for closed fracture",8
9899,"Toxic effect of unspecified substance, chiefly nonmedicinal as to source",8
07032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,8
E9505,Suicide and self-inflicted poisoning by unspecified drug or medicinal substance,8
M7052,"Other bursitis of knee, left knee",8
M7051,"Other bursitis of knee, right knee",8
29383,Mood disorder in conditions classified elsewhere,8
29212,Drug-induced psychotic disorder with hallucinations,8
81242,Closed fracture of lateral condyle of humerus,8
H40051,"Ocular hypertension, right eye",8
S01521A,"Laceration with foreign body of lip, initial encounter",8
S9304XA,"Dislocation of right ankle joint, initial encounter",8
S92532A,"Displaced fracture of distal phalanx of left lesser toe(s), initial encounter for closed fracture",8
T83022A,"Displacement of nephrostomy catheter, initial encounter",8
S43034A,"Inferior dislocation of right humerus, initial encounter",8
S96911A,"Strain of unspecified muscle and tendon at ankle and foot level, right foot, initial encounter",8
K265,Chronic or unspecified duodenal ulcer with perforation,8
8370,Closed dislocation of ankle,8
S82831B,"Other fracture of upper and lower end of right fibula, initial encounter for open fracture type I or II",8
4592,Compression of vein,8
05311,Geniculate herpes zoster,7
T8589XA,"Other specified complication of internal prosthetic devices, implants and grafts, not elsewhere classified, initial encounter",7
S82421A,"Displaced transverse fracture of shaft of right fibula, initial encounter for closed fracture",7
S8264XA,"Nondisplaced fracture of lateral malleolus of right fibula, initial encounter for closed fracture",7
0529,Varicella without mention of complication,7
F12120,"Cannabis abuse with intoxication, uncomplicated",7
47820,Unspecified disease of pharynx,7
Z91128,Patient's intentional underdosing of medication regimen for other reason,7
3334,Huntington's chorea,7
V00121A,"Fall from non-in-line roller-skates, initial encounter",7
V00141A,"Fall from scooter (nonmotorized), initial encounter",7
R0982,Postnasal drip,7
S82251B,"Displaced comminuted fracture of shaft of right tibia, initial encounter for open fracture type I or II",7
S82301A,"Unspecified fracture of lower end of right tibia, initial encounter for closed fracture",7
99601,Mechanical complication due to cardiac pacemaker (electrode),7
99632,Mechanical complication due to intrauterine contraceptive device,7
38181,Dysfunction of Eustachian tube,7
M19072,"Primary osteoarthritis, left ankle and foot",7
6210,Polyp of corpus uteri,7
S61234A,"Puncture wound without foreign body of right ring finger without damage to nail, initial encounter",7
S61235A,"Puncture wound without foreign body of left ring finger without damage to nail, initial encounter",7
I70201,"Unspecified atherosclerosis of native arteries of extremities, right leg",7
V184XXA,"Pedal cycle driver injured in noncollision transport accident in traffic accident, initial encounter",7
I6389,Other cerebral infarction,7
S82392B,"Other fracture of lower end of left tibia, initial encounter for open fracture type I or II",7
S82401A,"Unspecified fracture of shaft of right fibula, initial encounter for closed fracture",7
F19120,"Other psychoactive substance abuse with intoxication, uncomplicated",7
F28,Other psychotic disorder not due to a substance or known physiological condition,7
F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",7
E9392,Butyrophenone-based tranquilizers causing adverse effects in therapeutic use,7
M25422,"Effusion, left elbow",7
9911,Frostbite of hand,7
43320,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,7
43330,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction,7
S92192A,"Other fracture of left talus, initial encounter for closed fracture",7
T542X1A,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional), initial encounter",7
I519,"Heart disease, unspecified",7
S61522A,"Laceration with foreign body of left wrist, initial encounter",7
60783,Edema of penis,7
S61422A,"Laceration with foreign body of left hand, initial encounter",7
E0063,Activities involving bowling,7
1981,Secondary malignant neoplasm of other urinary organs,7
X16XXXA,"Contact with hot heating appliances, radiators and pipes, initial encounter",7
60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),7
S62307A,"Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for closed fracture",7
I5020,Unspecified systolic (congestive) heart failure,7
I5030,Unspecified diastolic (congestive) heart failure,7
9141,"Abrasion or friction burn of hand(s) except finger(s) alone, infected",7
9144,"Insect bite, nonvenomous, of hand(s) except finger(s) alone, without mention of infection",7
I708,Atherosclerosis of other arteries,7
S1081XA,"Abrasion of other specified part of neck, initial encounter",7
S1093XA,"Contusion of unspecified part of neck, initial encounter",7
E9411,Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use,7
E9413,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use,7
33119,Other frontotemporal dementia,7
3379,Unspecified disorder of autonomic nervous system,7
3384,Chronic pain syndrome,7
S12401A,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",7
6269,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,7
V270,Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident,7
V270,"Outcome of delivery, single liveborn",7
9189,Other and unspecified superficial injuries of eye,7
R8290,Unspecified abnormal findings in urine,7
R8299,Other abnormal findings in urine,7
1975,Secondary malignant neoplasm of large intestine and rectum,7
1980,Secondary malignant neoplasm of kidney,7
27730,"Amyloidosis, unspecified",7
27949,"Autoimmune disease, not elsewhere classified",7
73017,"Chronic osteomyelitis, ankle and foot",7
M25062,"Hemarthrosis, left knee",7
F3289,Other specified depressive episodes,7
E9378,Other sedatives and hypnotics causing adverse effects in therapeutic use,7
L930,Discoid lupus erythematosus,7
V5940XA,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter",7
S12290A,"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture",7
T50B95A,"Adverse effect of other viral vaccines, initial encounter",7
S62392A,"Other fracture of third metacarpal bone, right hand, initial encounter for closed fracture",7
1911,Malignant neoplasm of frontal lobe,7
36189,Other forms of retinal detachment,7
30430,"Cannabis dependence, unspecified",7
S92191A,"Other fracture of right talus, initial encounter for closed fracture",7
S82092A,"Other fracture of left patella, initial encounter for closed fracture",7
S82101A,"Unspecified fracture of upper end of right tibia, initial encounter for closed fracture",7
S82842B,"Displaced bimalleolar fracture of left lower leg, initial encounter for open fracture type I or II",7
99933,Local infection due to central venous catheter,7
9878,"Toxic effect of other specified gases, fumes, or vapors",7
9752,Poisoning by skeletal muscle relaxants,7
V537,"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident",7
75982,Marfan syndrome,7
N151,Renal and perinephric abscess,7
N4833,"Priapism, drug-induced",7
63310,Tubal pregnancy without intrauterine pregnancy,7
I82890,Acute embolism and thrombosis of other specified veins,7
W5301XA,"Bitten by mouse, initial encounter",7
36840,"Visual field defect, unspecified",7
T23231A,"Burn of second degree of multiple right fingers (nail), not including thumb, initial encounter",7
99989,Other transfusion reaction,7
S81851A,"Open bite, right lower leg, initial encounter",7
E9354,"Aromatic analgesics, not elsewhere classified, causing adverse effects in therapeutic use",7
F451,Undifferentiated somatoform disorder,7
O9123,Nonpurulent mastitis associated with lactation,7
O98812,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester",7
S06350A,"Traumatic hemorrhage of left cerebrum without loss of consciousness, initial encounter",7
V553,Attention to colostomy,7
V553,Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident,7
V575XXA,"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter",7
O9A211,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester",7
E9303,Erythromycin and other macrolides causing adverse effects in therapeutic use,7
S76812A,"Strain of other specified muscles, fascia and tendons at thigh level, left thigh, initial encounter",7
S76912A,"Strain of unspecified muscles, fascia and tendons at thigh level, left thigh, initial encounter",7
L209,"Atopic dermatitis, unspecified",7
27503,Other hemochromatosis,7
9720,Poisoning by cardiac rhythm regulators,7
S62624A,"Displaced fracture of middle phalanx of right ring finger, initial encounter for closed fracture",7
S62627A,"Displaced fracture of middle phalanx of left little finger, initial encounter for closed fracture",7
5961,Intestinovesical fistula,7
S62521A,"Displaced fracture of distal phalanx of right thumb, initial encounter for closed fracture",7
D508,Other iron deficiency anemias,7
I888,Other nonspecific lymphadenitis,7
I889,"Nonspecific lymphadenitis, unspecified",7
9301,Foreign body in conjunctival sac,7
7910,Proteinuria,7
D45,Polycythemia vera,7
D496,Neoplasm of unspecified behavior of brain,7
E340,Carcinoid syndrome,7
I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,7
1769,"Kaposi's sarcoma, unspecified site",7
N485,Ulcer of penis,7
N50819,"Testicular pain, unspecified",7
5258,Other specified disorders of the teeth and supporting structures,7
T8453XA,"Infection and inflammatory reaction due to internal right knee prosthesis, initial encounter",7
96972,Poisoning by amphetamines,7
L03818,Cellulitis of other sites,7
38869,Other otorrhea,7
38900,"Conductive hearing loss, unspecified",7
V537,Fitting and adjustment of orthopedic devices,7
0846,"Malaria, unspecified",7
4532,Other venous embolism and thrombosis of inferior vena cava,7
45352,Chronic venous embolism and thrombosis of deep vessels of distal lower extremity,7
S30861A,"Insect bite (nonvenomous) of abdominal wall, initial encounter",7
36900,"Profound impairment, both eyes, impairment level not further specified",7
N710,Acute inflammatory disease of uterus,7
3569,Unspecified hereditary and idiopathic peripheral neuropathy,7
S91201A,"Unspecified open wound of right great toe with damage to nail, initial encounter",7
Y792,"Prosthetic and other implants, materials and accessory orthopedic devices associated with adverse incidents",7
S00512A,"Abrasion of oral cavity, initial encounter",7
7901,Elevated sedimentation rate,7
7211,Cervical spondylosis with myelopathy,7
0949,"Neurosyphilis, unspecified",7
R198,Other specified symptoms and signs involving the digestive system and abdomen,7
K9411,Enterostomy hemorrhage,7
S02642A,"Fracture of ramus of left mandible, initial encounter for closed fracture",7
G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",7
S72342A,"Displaced spiral fracture of shaft of left femur, initial encounter for closed fracture",7
S72351A,"Displaced comminuted fracture of shaft of right femur, initial encounter for closed fracture",7
O1493,"Unspecified pre-eclampsia, third trimester",7
O163,"Unspecified maternal hypertension, third trimester",7
71903,"Effusion of joint, forearm",7
M96842,Postprocedural seroma of a musculoskeletal structure following a musculoskeletal system procedure,7
D271,Benign neoplasm of left ovary,7
J09X9,Influenza due to identified novel influenza A virus with other manifestations,7
H9313,"Tinnitus, bilateral",7
T80212A,"Local infection due to central venous catheter, initial encounter",7
30541,"Sedative, hypnotic or anxiolytic abuse, continuous",7
64293,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",7
B0239,Other herpes zoster eye disease,7
O2301,"Infections of kidney in pregnancy, first trimester",7
K868,Other specified diseases of pancreas,7
9642,Poisoning by anticoagulants,7
64833,"Drug dependence of mother, antepartum condition or complication",7
H8109,"Meniere's disease, unspecified ear",7
H8111,"Benign paroxysmal vertigo, right ear",7
T8249XA,"Other complication of vascular dialysis catheter, initial encounter",7
S92531A,"Displaced fracture of distal phalanx of right lesser toe(s), initial encounter for closed fracture",7
29653,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior",7
53013,Eosinophilic esophagitis,7
53540,"Other specified gastritis, without mention of hemorrhage",7
53089,Other specified disorders of esophagus,7
53110,"Acute gastric ulcer with perforation, without mention of obstruction",7
G44319,"Acute post-traumatic headache, not intractable",7
G4440,"Drug-induced headache, not elsewhere classified, not intractable",7
G4733,Obstructive sleep apnea (adult) (pediatric),7
E8912,Other smoke and fumes from conflagration in other and unspecified building or structure,7
2511,Other specified hypoglycemia,7
W010XXD,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, subsequent encounter",7
S32502A,"Unspecified fracture of left pubis, initial encounter for closed fracture",7
95913,Fracture of corpus cavernosum penis,7
M5136,"Other intervertebral disc degeneration, lumbar region",7
4465,Giant cell arteritis,7
T83512A,"Infection and inflammatory reaction due to nephrostomy catheter, initial encounter",7
O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,7
S62634B,"Displaced fracture of distal phalanx of right ring finger, initial encounter for open fracture",7
4267,Anomalous atrioventricular excitation,7
J95811,Postprocedural pneumothorax,7
29520,"Catatonic type schizophrenia, unspecified",7
1100,Dermatophytosis of scalp and beard,7
81509,Closed fracture of multiple sites of metacarpus,7
R234,Changes in skin texture,7
8708,Other specified open wounds of ocular adnexa,7
K7110,"Toxic liver disease with hepatic necrosis, without coma",7
S39848A,"Other specified injuries of external genitals, initial encounter",7
71536,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",7
V4702XA,"Driver of other type car injured in collision with fixed or stationary object in nontraffic accident, initial encounter",7
82002,Closed fracture of midcervical section of neck of femur,7
Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,7
2452,Chronic lymphocytic thyroiditis,7
2459,"Thyroiditis, unspecified",7
W130XXA,"Fall from, out of or through balcony, initial encounter",7
V4353XA,"Car driver injured in collision with pick-up truck in traffic accident, initial encounter",7
W2131XA,"Struck by shoe cleats, initial encounter",7
W2189XA,"Striking against or struck by other sports equipment, initial encounter",7
S52042A,"Displaced fracture of coronoid process of left ulna, initial encounter for closed fracture",7
S52132A,"Displaced fracture of neck of left radius, initial encounter for closed fracture",7
S52372A,"Galeazzi's fracture of left radius, initial encounter for closed fracture",7
N801,Endometriosis of ovary,7
81220,Closed fracture of unspecified part of humerus,7
Y92003,Bedroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause,7
S50862A,"Insect bite (nonvenomous) of left forearm, initial encounter",7
S51822A,"Laceration with foreign body of left forearm, initial encounter",7
H53149,"Visual discomfort, unspecified",7
H543,"Unqualified visual loss, both eyes",7
N800,Endometriosis of uterus,7
37515,"Tear film insufficiency, unspecified",7
S68521A,"Partial traumatic transphalangeal amputation of right thumb, initial encounter",7
5379,Unspecified disorder of stomach and duodenum,7
E8780,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",7
G8190,"Hemiplegia, unspecified affecting unspecified side",7
1363,Pneumocystosis,7
K627,Radiation proctitis,7
7103,Dermatomyositis,7
70725,"Pressure ulcer, unstageable",7
S41011A,"Laceration without foreign body of right shoulder, initial encounter",7
S68122A,"Partial traumatic metacarpophalangeal amputation of right middle finger, initial encounter",7
55221,Incisional ventral hernia with obstruction,7
G8194,"Hemiplegia, unspecified affecting left nondominant side",7
G8389,Other specified paralytic syndromes,7
81250,Open fracture of unspecified part of lower end of humerus,7
N831,Corpus luteum cyst,7
H468,Other optic neuritis,7
J984,Other disorders of lung,7
J985,"Diseases of mediastinum, not elsewhere classified",7
S42101A,"Fracture of unspecified part of scapula, right shoulder, initial encounter for closed fracture",7
S42102A,"Fracture of unspecified part of scapula, left shoulder, initial encounter for closed fracture",7
70400,"Alopecia, unspecified",7
M6008,"Infective myositis, other site",7
M654,Radial styloid tenosynovitis [de Quervain],7
94524,"Blisters, epidermal loss [second degree] of lower leg",7
9462,"Blisters, epidermal loss [second degree] of multiple specified sites",7
44329,Dissection of other artery,7
44409,Other arterial embolism and thrombosis of abdominal aorta,7
W134XXA,"Fall from, out of or through window, initial encounter",7
W2101XA,"Struck by football, initial encounter",7
7871,Heartburn,7
H269,Unspecified cataract,7
H40052,"Ocular hypertension, left eye",7
E8289,Accident involving animal being ridden injuring unspecified person,7
81243,Closed fracture of medial condyle of humerus,7
81244,Closed fracture of unspecified condyle(s) of humerus,7
2409,"Goiter, unspecified",7
S42215A,"Unspecified nondisplaced fracture of surgical neck of left humerus, initial encounter for closed fracture",7
7011,"Keratoderma, acquired",7
56409,Other constipation,7
34620,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",7
34682,"Other forms of migraine, without mention of intractable migraine with status migrainosus",7
87202,"Open wound of auditory canal, without mention of complication",7
S43085A,"Other dislocation of left shoulder joint, initial encounter",7
T83020A,"Displacement of cystostomy catheter, initial encounter",7
81302,Closed fracture of coronoid process of ulna,7
H15102,"Unspecified episcleritis, left eye",7
H18822,"Corneal disorder due to contact lens, left eye",7
5716,Biliary cirrhosis,7
S4352XA,"Sprain of left acromioclavicular joint, initial encounter",7
81408,Closed fracture of hamate [unciform] bone of wrist,7
S67193A,"Crushing injury of left middle finger, initial encounter",7
S67194A,"Crushing injury of right ring finger, initial encounter",7
S6721XA,"Crushing injury of right hand, initial encounter",7
81311,Open fracture of olecranon process of ulna,7
M71122,"Other infective bursitis, left elbow",7
S42391A,"Other fracture of shaft of right humerus, initial encounter for closed fracture",7
69276,Sunburn of second degree,7
K5010,Crohn's disease of large intestine without complications,7
87361,"Open wound of buccal mucosa, without mention of complication",7
N926,"Irregular menstruation, unspecified",7
81333,Open fracture of shaft of radius with ulna,7
S6391XA,"Sprain of unspecified part of right wrist and hand, initial encounter",7
S6392XA,"Sprain of unspecified part of left wrist and hand, initial encounter",7
S66222A,"Laceration of extensor muscle, fascia and tendon of left thumb at wrist and hand level, initial encounter",7
S66320A,"Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level, initial encounter",7
68601,Pyoderma gangrenosum,7
4219,"Acute endocarditis, unspecified",7
K3533,"Acute appendicitis with perforation, localized peritonitis, and gangrene, with abscess",7
H1012,"Acute atopic conjunctivitis, left eye",7
S90425A,"Blister (nonthermal), left lesser toe(s), initial encounter",7
S90561A,"Insect bite (nonvenomous), right ankle, initial encounter",7
V1002,Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx,7
T424X5A,"Adverse effect of benzodiazepines, initial encounter",7
Z8546,Personal history of malignant neoplasm of prostate,7
Z87440,Personal history of urinary (tract) infections,7
05413,Herpetic infection of penis,7
R1112,Projectile vomiting,7
R12,Heartburn,7
83304,Closed dislocation of carpometacarpal (joint),7
9941,Drowning and nonfatal submersion,7
73382,Nonunion of fracture,7
V5866,Long-term (current) use of aspirin,7
V5882,"Fitting and adjustment of nonvascular catheter, NEC",7
99563,Anaphylactic reaction due to fruits and vegetables,7
T5491XA,"Toxic effect of unspecified corrosive substance, accidental (unintentional), initial encounter",7
36500,"Preglaucoma, unspecified",7
X101XXA,"Contact with hot food, initial encounter",7
E0053,Activities involving trampoline,7
F12980,"Cannabis use, unspecified with anxiety disorder",7
F14120,"Cocaine abuse with intoxication, uncomplicated",7
F14229,"Cocaine dependence with intoxication, unspecified",7
83412,"Open dislocation interphalangeal (joint), hand",7
4610,Acute maxillary sinusitis,6
T85590A,"Other mechanical complication of bile duct prosthesis, initial encounter",6
83500,"Closed dislocation of hip, unspecified site",6
E0062,Activities involving golf,6
V170XXA,"Pedal cycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter",6
S61439A,"Puncture wound without foreign body of unspecified hand, initial encounter",6
E0079,Other activity involving other sports and athletes played as a team or group,6
W74XXXA,"Unspecified cause of accidental drowning and submersion, initial encounter",6
61689,"Other inflammatory disease of cervix, vagina and vulva",6
R809,"Proteinuria, unspecified",6
9173,"Blister of foot and toe(s), infected",6
E9499,Other and unspecified vaccines and biological substances causing adverse effects in therapeutic use,6
E9507,Suicide and self-inflicted poisoning by corrosive and caustic substances,6
F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified",6
Z791,Long term (current) use of non-steroidal anti-inflammatories (NSAID),6
0700,Viral hepatitis A with hepatic coma,6
Z79890,Hormone replacement therapy,6
M25421,"Effusion, right elbow",6
9912,Frostbite of foot,6
I7100,Dissection of unspecified site of aorta,6
O008,Other ectopic pregnancy,6
S6702XA,"Crushing injury of left thumb, initial encounter",6
S67195A,"Crushing injury of left ring finger, initial encounter",6
E8551,Accidental poisoning by other central nervous system depressants,6
8782,"Open wound of scrotum and testes, without mention of complication",6
94427,"Blisters, epidermal loss [second degree] of wrist",6
S42452A,"Displaced fracture of lateral condyle of left humerus, initial encounter for closed fracture",6
6945,Pemphigoid,6
8786,"Open wound of vagina, without mention of complication",6
N840,Polyp of corpus uteri,6
N858,Other specified noninflammatory disorders of uterus,6
87360,"Open wound of mouth, unspecified site, without mention of complication",6
56729,Other suppurative peritonitis,6
6868,Other specified local infections of skin and subcutaneous tissue,6
6918,Other atopic dermatitis and related conditions,6
K3589,Other acute appendicitis,6
C3492,Malignant neoplasm of unspecified part of left bronchus or lung,6
Y990,Civilian activity done for income or pay,6
G911,Obstructive hydrocephalus,6
G918,Other hydrocephalus,6
5643,Vomiting following gastrointestinal surgery,6
N99512,Cystostomy malfunction,6
M7632,"Iliotibial band syndrome, left leg",6
94415,Erythema [first degree] of palm,6
8780,"Open wound of penis, without mention of complication",6
T83091A,"Other mechanical complication of indwelling urethral catheter, initial encounter",6
81303,Closed Monteggia's fracture,6
S638X2A,"Sprain of other part of left wrist and hand, initial encounter",6
56971,Pouchitis,6
S46212A,"Strain of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter",6
67414,"Disruption of cesarean wound, postpartum condition or complication",6
N99841,Postprocedural hematoma of a genitourinary system organ or structure following other procedure,6
G8928,Other chronic postprocedural pain,6
K5180,Other ulcerative colitis without complications,6
K558,Other vascular disorders of intestine,6
W1642XA,"Fall into unspecified water causing other injury, initial encounter",6
W19XXXD,"Unspecified fall, subsequent encounter",6
S020XXB,"Fracture of vault of skull, initial encounter for open fracture",6
4417,"Thoracoabdominal aneurysm, without mention of rupture",6
H40211,"Acute angle-closure glaucoma, right eye",6
H4089,Other specified glaucoma,6
E8298,Other road vehicle accidents injuring other specified person,6
H43391,"Other vitreous opacities, right eye",6
81231,Open fracture of shaft of humerus,6
C7989,Secondary malignant neoplasm of other specified sites,6
24291,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",6
W1802XA,"Striking against glass with subsequent fall, initial encounter",6
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",6
E8699,Accidental poisoning by unspecified gases and vapors,6
S42342A,"Displaced spiral fracture of shaft of humerus, left arm, initial encounter for closed fracture",6
K5641,Fecal impaction,6
K200,Eosinophilic esophagitis,6
67014,"Puerperal endometritis, postpartum condition or complication",6
67183,"Other venous complications of pregnancy and the puerperium, antepartum condition or complication",6
M7712,"Lateral epicondylitis, left elbow",6
M7731,"Calcaneal spur, right foot",6
37205,Acute atopic conjunctivitis,6
N8312,Corpus luteum cyst of left ovary,6
N83292,"Other ovarian cyst, left side",6
E8251,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle,6
E8270,Animal-drawn vehicle accident injuring pedestrian,6
E8278,Animal-drawn vehicle accident injuring other specified person,6
K5731,Diverticulosis of large intestine without perforation or abscess with bleeding,6
7061,Other acne,6
29562,"Schizophrenic disorders, residual type, chronic",6
S40261A,"Insect bite (nonvenomous) of right shoulder, initial encounter",6
78491,Postnasal drip,6
T404X5A,"Adverse effect of other synthetic narcotics, initial encounter",6
5538,Hernia of other specified sites without mention of obstruction or gangrene,6
S68615A,"Complete traumatic transphalangeal amputation of left ring finger, initial encounter",6
G808,Other cerebral palsy,6
S68021A,"Partial traumatic metacarpophalangeal amputation of right thumb, initial encounter",6
T428X1A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional), initial encounter",6
T43211A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, accidental (unintentional), initial encounter",6
C160,Malignant neoplasm of cardia,6
70707,"Pressure ulcer, heel",6
S68022A,"Partial traumatic metacarpophalangeal amputation of left thumb, initial encounter",6
S68120A,"Partial traumatic metacarpophalangeal amputation of right index finger, initial encounter",6
E8689,Accidental poisoning by unspecified carbon monoxide,6
E869,"Volume depletion, unspecified",6
S52201A,"Unspecified fracture of shaft of right ulna, initial encounter for closed fracture",6
S52272A,"Monteggia's fracture of left ulna, initial encounter for closed fracture",6
81101,Closed fracture of acromial process of scapula,6
R411,Anterograde amnesia,6
E8210,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle,6
1570,Malignant neoplasm of head of pancreas,6
C7A8,Other malignant neuroendocrine tumors,6
K1370,Unspecified lesions of oral mucosa,6
C7949,Secondary malignant neoplasm of other parts of nervous system,6
H4902,"Third [oculomotor] nerve palsy, left eye",6
57511,Chronic cholecystitis,6
S62646A,"Nondisplaced fracture of proximal phalanx of right little finger, initial encounter for closed fracture",6
S63283A,"Dislocation of proximal interphalangeal joint of left middle finger, initial encounter",6
H53123,"Transient visual loss, bilateral",6
R439,Unspecified disturbances of smell and taste,6
8840,"Multiple and unspecified open wound of upper limb, without mention of complication",6
K824,Cholesterolosis of gallbladder,6
V909,"Retained foreign body, unspecified material",6
11289,Other candidiasis of other specified sites,6
8701,"Laceration of eyelid, full-thickness, not involving lacrimal passages",6
34510,"Generalized convulsive epilepsy, without mention of intractable epilepsy",6
25043,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",6
S39013A,"Strain of muscle, fascia and tendon of pelvis, initial encounter",6
S339XXA,"Sprain of unspecified parts of lumbar spine and pelvis, initial encounter",6
95891,Traumatic compartment syndrome of upper extremity,6
M5430,"Sciatica, unspecified side",6
34600,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",6
R2241,"Localized swelling, mass and lump, right lower limb",6
S68627A,"Partial traumatic transphalangeal amputation of left little finger, initial encounter",6
E8792,"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",6
G710,Muscular dystrophy,6
S52031A,"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for closed fracture",6
Y92239,Unspecified place in hospital as the place of occurrence of the external cause,6
5793,Other and unspecified postsurgical nonabsorption,6
S62636A,"Displaced fracture of distal phalanx of right little finger, initial encounter for closed fracture",6
S52591B,"Other fractures of lower end of right radius, initial encounter for open fracture type I or II",6
S92412A,"Displaced fracture of proximal phalanx of left great toe, initial encounter for closed fracture",6
78799,Other symptoms involving digestive system,6
94222,"Blisters, epidermal loss [second degree] of chest wall, excluding breast and nipple",6
M84452A,"Pathological fracture, left femur, initial encounter for fracture",6
29540,"Schizophreniform disorder, unspecified",6
M868X8,"Other osteomyelitis, other site",6
M898X8,"Other specified disorders of bone, other site",6
S0125XA,"Open bite of nose, initial encounter",6
S36892A,"Contusion of other intra-abdominal organs, initial encounter",6
S36893A,"Laceration of other intra-abdominal organs, initial encounter",6
B54,Unspecified malaria,6
K822,Perforation of gallbladder,6
78065,Hypothermia not associated with low environmental temperature,6
S71152A,"Open bite, left thigh, initial encounter",6
E9018,Accident due to excessive cold of other specified origin,6
E9051,Venomous spiders causing poisoning and toxic reactions,6
E894,Ignition of highly inflammable material,6
E894,Postprocedural ovarian failure,6
E8869,"Other and unspecified falls on same level from collision, pushing, or shoving, by or with other person",6
S32441A,"Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture",6
T375X5A,"Adverse effect of antiviral drugs, initial encounter",6
37689,Other orbital disorders,6
G5603,"Carpal tunnel syndrome, bilateral upper limbs",6
G5631,"Lesion of radial nerve, right upper limb",6
8170,Multiple closed fractures of hand bones,6
